period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
10/1/2019,10/31/2019,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,All Residential,-1,245000,-0.019607843,0.065217391,267925,-0.007317525,0.050923247,115.1234568,-0.010578083,0.039760405,122.6482618,-0.001029908,0.053684844,9078,0.02368065,0.057056358,8706,0.053612489,0.045012604,12829,0.017528553,0.014551206,36006,-0.018589184,0.01021267,4,-0.1,-0.2,35,1,2,0.978018934,-0.002564911,-0.000364288,0.185283102,-0.012506704,-0.01744163,0.278370272,0.005719814,0.012672499,0.33459683,-0.019148783,-0.008699293,"Atlanta, GA",12060,9/24/2023 14:28
9/1/2016,9/30/2016,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,All Residential,-1,203172,-0.01324915,0.069326316,225000,0.02319236,0.080510001,96.00380228,0.001563231,0.062416123,101.2469222,0.011114748,0.068274612,9073,-0.104255109,0.103234436,7411,-0.13453229,0.099718059,12205,-0.049602866,0.097571942,40732,-0.014659635,-0.05415196,4.5,0.4,-0.7,50,5,-3,0.975310265,-0.001825047,0.004868473,0.172379588,-0.010757938,0.021236592,0.226063046,-0.027577672,-0.182700654,0.281473485,0.007387301,0.045830215,"Atlanta, GA",12060,9/24/2023 14:28
8/1/2019,8/31/2019,30,metro,-2,26420,f,"Houston, TX metro area",,,TX,All Residential,-1,249260,-0.00295003,0.048324011,245600,-0.0176,0.002663836,113.3658537,-0.004438227,0.033608672,116.8111753,0.005248312,0.03211554,9066,-0.028504072,0.035049663,7065,-0.084251458,0.001559399,10142,-0.097285269,-0.008699052,29763,-0.021372439,0.027940872,3.3,0,0,39,5,5,0.972780538,-0.00284263,-0.000216203,0.1237591,-0.015546515,-0.014498692,0.337734771,-0.007874014,0.002375236,0.36079264,-0.023134774,-0.008784905,"Houston, TX",26420,9/24/2023 14:28
7/1/2019,7/31/2019,30,metro,-2,38060,f,"Phoenix, AZ metro area",,,AZ,All Residential,-1,282000,0.007142857,0.052238806,285000,-0.023638232,0.055946647,158.9311752,0.003562359,0.050414868,163.1393298,0.002452208,0.057281271,9058,-0.017570499,0.081939799,7533,-0.016708002,0.066543961,7957,-0.05856602,-0.02392051,17055,-0.104818392,-0.077809019,1.9,-0.2,-0.3,42,-1,2,0.985499087,0.000387976,0.000245242,0.18425701,0.008226642,0.00544669,0.247258868,0.002560149,-0.011041121,0.289393336,0.020107342,0.019677918,"Phoenix, AZ",38060,9/24/2023 14:28
6/1/2018,6/30/2018,30,metro,-2,38060,f,"Phoenix, AZ metro area",,,AZ,All Residential,-1,270000,0.011235955,0.090909091,273900,-0.004,0.092593184,150.9161041,0.00112428,0.083762742,154.5564419,0.007362799,0.095945679,9025,-0.08440702,-0.038359084,7465,-0.068505116,0.014404131,9323,-0.040251184,0.017350502,19439,-0.015746835,-0.074245166,2.2,0.2,0,40,0,-5,0.985035403,0.000602018,0.003199121,0.183047091,0.002870567,0.016504737,0.248469571,-0.015479796,-0.011555193,0.276222371,-0.00902844,0.02061699,"Phoenix, AZ",38060,9/24/2023 14:28
8/1/2014,8/31/2014,30,metro,-2,16984,f,"Chicago, IL metro area",,,IL,All Residential,-1,217000,-0.013636364,0.095959596,209500,-0.047294225,0.07491021,132.2268136,-0.020892285,0.055187331,131.002694,-0.033507364,0.056784274,9018,-0.062383032,-0.095758548,7051,-0.046388964,-0.060367804,10881,-0.127145837,-0.030818562,37042,-0.001590254,0.155540304,4.1,0.2,0.9,40,7,1,0.970269565,-0.003245047,-0.004668919,0.188733644,-0.016506531,-0.051314486,0.291452945,-0.010883919,0.040454692,0.32194015,-0.017389035,-0.037867952,"Chicago, IL",16984,9/24/2023 14:28
9/1/2020,9/30/2020,30,metro,-2,38060,f,"Phoenix, AZ metro area",,,AZ,All Residential,-1,332000,0.00667071,0.173144876,340000,0,0.133711237,184.9,0.015058399,0.142136393,193.6542796,0.026115054,0.143754561,9011,0.046695319,0.155997434,8583,0.067006464,0.314596416,9962,0.00952574,0.172,13597,0.013718035,-0.187365527,1.5,-0.1,-0.6,32,-2,-6,0.996003224,0.001578677,0.010239103,0.346798358,0.015168668,0.159113944,0.183864088,0.011270335,-0.073666393,0.376092275,-0.02532493,0.051387114,"Phoenix, AZ",38060,9/24/2023 14:28
4/1/2021,4/30/2021,30,metro,-2,26420,f,"Houston, TX metro area",,,TX,Single Family Residential,6,299000,0.013679589,0.17254902,324900,0.031428571,0.203779177,133.7428903,0.023762842,0.160888288,140.0454201,0.017163552,0.150918725,8999,0.015573863,0.521900896,9186,0.076148079,0.675360204,10813,0.125885048,0.44038897,11107,0.005158371,-0.522915682,1.2,0,-2.7,15,-8,-20,0.995148991,0.006654407,0.017497399,0.348705412,0.074695706,0.190917487,0.203295219,-0.017066772,-0.017442722,0.67025909,0.034949812,0.293275687,"Houston, TX",26420,9/24/2023 14:28
4/1/2017,4/30/2017,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,All Residential,-1,220000,0.018011869,0.065483657,250000,-0.025394325,0.041666667,101.5384615,0.024735569,0.073918552,107.5036443,-0.003814168,0.049155936,8992,-0.11031958,-0.034675255,8825,-0.027655355,0.010650481,14030,-0.126890286,-0.087894942,36059,0.037818391,-0.077468212,4,0.6,-0.2,40,-11,-6,0.980277731,0.002630373,0.003801466,0.213523132,0.022863193,0.010839288,0.181508084,0.001482181,-0.175208983,0.397393768,-0.016004205,0.021420337,"Atlanta, GA",12060,9/24/2023 14:28
12/1/2021,12/31/2021,30,metro,-2,26420,f,"Houston, TX metro area",,,TX,Single Family Residential,6,323692.5,0.027595238,0.177063636,315000,-0.015594237,0.133093525,149.3363461,0.014792566,0.198318373,152.9907975,0.010929729,0.178143598,8988,0.129145729,-0.032299742,5818,-0.201482295,0.020164826,6371,-0.172597403,0.00172956,12497,-0.083259977,-0.126694619,1.4,-0.3,-0.1,20,1,-8,0.992857343,0.000134491,0.011136288,0.310970182,-0.012271024,0.116202741,0.187805073,-0.049577556,-0.010447897,0.519250602,-0.028512231,0.046867645,"Houston, TX",26420,9/24/2023 14:28
